"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","Time","year","month","date","hour","minute","seconds","id","age","Gender","Handedness","mood","fresh","H_since_Sleep","H_since_Eat","responses","question_order","slider_start","response","test_part","face","word","correct_response","correct"
"3360.3299999958836","<p>Welcome to this experiment on daily rhythms and cognition.</p><p>First you will be asked some questions about yourself.</p><p>Then a short experiment will measure your response time.</p><p>Take the test at different times of the day/night.</p><p>The test is anonymous, but comparing your data across time is important.</p><p>Therefore, please make up and remember a personal ID (two letters+ two numbers).</p><p>Use this ID whenever taking the test.</p><p><strong>Press any key to begin.</strong></p>","72","html-keyboard-response","0","3361","0.0-0.0","ywgg2l","Sun Feb 07 2021 11:54:02 GMT+0100 (Central European Standard Time)","2021","2","7","11","54","2","hh17","15","male","left","84","46","5","4","","","","","","","","",""
"3695.3600000124425","","","survey-text","1","7059","0.0-1.0","ywgg2l","Sun Feb 07 2021 11:54:02 GMT+0100 (Central European Standard Time)","2021","2","7","11","54","2","hh17","15","male","left","84","46","5","4","{""Q0"":""hh17""}","","","","","","","",""
"2688.974999997299","","","survey-text","2","9749","0.0-2.0","ywgg2l","Sun Feb 07 2021 11:54:02 GMT+0100 (Central European Standard Time)","2021","2","7","11","54","2","hh17","15","male","left","84","46","5","4","{""Q0"":""15""}","","","","","","","",""
"4010.825000004843","","","survey-multi-select","3","13762","0.0-3.0","ywgg2l","Sun Feb 07 2021 11:54:02 GMT+0100 (Central European Standard Time)","2021","2","7","11","54","2","hh17","15","male","left","84","46","5","4","{""Gender"":[""male""],""Hand"":[""left""]}","[0,1]","","","","","","",""
"4274.199999985285","<p>How Sad/Angry or Happy are you right now?</p>","","html-slider-response","4","18038","0.0-4.0","ywgg2l","Sun Feb 07 2021 11:54:02 GMT+0100 (Central European Standard Time)","2021","2","7","11","54","2","hh17","15","male","left","84","46","5","4","","","50","84","","","","",""
"2653.9950000005774","<p>How Tired/Sleepy/Distracted or Fresh/Awake/Alert are you right now?</p>","","html-slider-response","5","20693","0.0-5.0","ywgg2l","Sun Feb 07 2021 11:54:02 GMT+0100 (Central European Standard Time)","2021","2","7","11","54","2","hh17","15","male","left","84","46","5","4","","","50","46","","","","",""
"4562.919999996666","","","survey-multi-select","6","25270","0.0-6.0","ywgg2l","Sun Feb 07 2021 11:54:02 GMT+0100 (Central European Standard Time)","2021","2","7","11","54","2","hh17","15","male","left","84","46","5","4","{""Sleep"":[""5""],""Eat"":[""4""]}","[0,1]","","","","","","",""
"24152.874999970663","<p>In this experiment, a face and a word will appear in the center of the screen.</p><p>If the face is <strong>happy</strong>, press the letter <strong>H</strong> with <strong>right</strong> index finger.</p><p>If the face is <strong>fearful</strong>, press the letter <strong>F</strong> with <strong>left</strong> index finger.</p><p>Respond as fast as possible while being correct. <strong>Ignore</strong> the written words. </p><div style='width: 900px;'><div style='float: left;'><img src='img/stimuli_stroop_happy.png'></img><p class='small'><strong>Press the H key for happy faces</strong></p></div><div class='float: right;'><img src='img/stimuli_stroop_fear.png'></img><p class='small'><strong>Press the F key for faces with fear</strong></p></div></div><p>If the screen turns blank, press <strong>SPACE</strong></p><p><strong>Press any key to begin.</strong></p>","70","html-keyboard-response","7","49424","0.0-7.0","ywgg2l","Sun Feb 07 2021 11:54:02 GMT+0100 (Central European Standard Time)","2021","2","7","11","54","2","hh17","15","male","left","84","46","5","4","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","8","52428","0.0-8.0-0.0","ywgg2l","Sun Feb 07 2021 11:54:02 GMT+0100 (Central European Standard Time)","2021","2","7","11","54","2","hh17","15","male","left","84","46","5","4","","","","","fixation","","","",""
"1065.9449999802746","img/image_stim_h.png","32","image-keyboard-response","9","53496","0.0-8.0-1.0","ywgg2l","Sun Feb 07 2021 11:54:02 GMT+0100 (Central European Standard Time)","2021","2","7","11","54","2","hh17","15","male","left","84","46","5","4","","","","","test","happy","happy","h","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","10","54001","0.0-8.0-0.1","ywgg2l","Sun Feb 07 2021 11:54:02 GMT+0100 (Central European Standard Time)","2021","2","7","11","54","2","hh17","15","male","left","84","46","5","4","","","","","fixation","","","",""
"1543.2800000417046","img/image_stim_f_stroop.png","32","image-keyboard-response","11","55545","0.0-8.0-1.1","ywgg2l","Sun Feb 07 2021 11:54:02 GMT+0100 (Central European Standard Time)","2021","2","7","11","54","2","hh17","15","male","left","84","46","5","4","","","","","test","fear","happy","f","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","12","56298","0.0-8.0-0.2","ywgg2l","Sun Feb 07 2021 11:54:02 GMT+0100 (Central European Standard Time)","2021","2","7","11","54","2","hh17","15","male","left","84","46","5","4","","","","","fixation","","","",""
"1540.355000004638","img/image_stim_f.png","32","image-keyboard-response","13","57839","0.0-8.0-1.2","ywgg2l","Sun Feb 07 2021 11:54:02 GMT+0100 (Central European Standard Time)","2021","2","7","11","54","2","hh17","15","male","left","84","46","5","4","","","","","test","fear","fear","f","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","14","58092","0.0-8.0-0.3","ywgg2l","Sun Feb 07 2021 11:54:02 GMT+0100 (Central European Standard Time)","2021","2","7","11","54","2","hh17","15","male","left","84","46","5","4","","","","","fixation","","","",""
"3114.6549999830313","img/image_stim_h_stroop.png","32","image-keyboard-response","15","61208","0.0-8.0-1.3","ywgg2l","Sun Feb 07 2021 11:54:02 GMT+0100 (Central European Standard Time)","2021","2","7","11","54","2","hh17","15","male","left","84","46","5","4","","","","","test","happy","fear","h","false"
"null","<div style=""font-size:60px;"">+</div>","null","html-keyboard-response","16","62960","0.0-8.0-0.4","ywgg2l","Sun Feb 07 2021 11:54:02 GMT+0100 (Central European Standard Time)","2021","2","7","11","54","2","hh17","15","male","left","84","46","5","4","","","","","fixation","","","",""
"1809.0650000376627","img/image_stim_f.png","70","image-keyboard-response","17","64771","0.0-8.0-1.4","ywgg2l","Sun Feb 07 2021 11:54:02 GMT+0100 (Central European Standard Time)","2021","2","7","11","54","2","hh17","15","male","left","84","46","5","4","","","","","test","fear","fear","f","true"
