ID;video;coder1;coder2;response
sfmsk;video_1;;3;"The video was about two paper planes - a mother and a child. It seems they have a nice relationship where they dance together and the mother pays a lot of attention to the child. However, the mother also wants the child to leave the ""nest"" or the square around the paper planes. So the mother shows the child how to exit it and the child copies it nervously. However, outside the ""nest"" they ""celebrate"" and join tips and dance together again."
SD;video_1;;3;I saw it as a metaphor for someone (the smaller triangle) wanting to gain independence (step out into the world) but not really having the courage to do it without a little nudge (from the bigger triangle).
S;video_1;;3;To triangles move up and down and spins together (have a good time). The big triangle leaves the square (safe place), the small triangle shakes (nerveus). The big triangles helps the small triangle to get out of the square as well. The small triangle moves around outside (explore the unknown). They spin together in the end (have fun).
rss;video_1;;2;In the video the two triangles were fighting, like brothers or sisters, over who could get the other one out of the square and in the end the little blue one gave up, but the big red one still wanted to fight, so it ran after it.
Rønn;video_1;;3;The small triangle had a dance with the larger one. Then they had a disagreement, however they became friends again and left the containment box
qwerty;video_1;;2;The two triangles seemed to be playing some kind of game at first where one of their corners touched and they spun around. Then the big triangle went outside the box for a short duration of time. After the big triangle had returned it pushed the little triangle out of the box. After the small triangle had wandered around for a little while, the big triangle came out and they played the game from the begining again.
qw1952;video_1;;2;"initially like a triangle child pused out of the nest to ""learn how to fly"""
Queen;video_1;;2;The big red triangle was sort of transporting the little blue triangle and then in the end the big red triangle got rid of the little blue one
PSGslogLiverpool;video_1;;3;The big triangle wanted to learn the small triangle that outside the box, there was nothing to be afraid of. Probably a father-son relationship.
princess banana hammock;video_1;;3;the little triangle is the bigger ones child. The little triangle is very attached to it's mother but the mother is trying to get it outside the house (the square) first by trying to get it to follow and later by actually blocking it out
prik;video_1;;2;The triangles were playing, and then the big triangle pushed the little triangle outside to play.
Pretzel;video_1;;1;THere are two triangles inside a box. They spin around. The big triangle goes outside the box, while the small triangle stays inside. The big triangle enters the box again. The two triangles move around for a while. They both go outside the box and spin around.
pineconewithfeels;video_1;;3;With the risk of sounding like a complete moron, I think the two triangles fell in love, had a series of fights and finally acknowledges that they could never stay away from each other.
Patient HM;video_1;;3;The big triangle constitutes the mother while the small triangle constitutes the child. In the video, the mother and child are at first in a room where they play and are having a good time. The mother then tries to leave the room without the baby, but the baby gets scared. Then the mother encourages and nudges the baby out of the room. The baby resist initially but soon goes outside. The two seem happy in the end.
p230;video_1;;1;Two triangles in a box with one opening. A big red one and a small blue one. At one point they are joined and starts spinning. Later the big triangle pushes the small one out of the box and blocks the entrance. It then joins the small one and they start spinning again.
oma;video_1;;1;The red and the blue triangle start in the square. they move around each other and then attach themselves to each other and circle around. they detach and the red triangle move outside the square. it then pushes the blue triangle out of the square and block the entrance. then they attach again outside the square and circle around.
nulle;video_1;;3;"the small triangle was trapped inside the ""box"" and could only come out with help from the bigger triangle, they became friends"
Neo;video_1;;2;A parent/big triangle is bossing around with the small triangle. It is playful, though, and they sometimes break up their argument to start dancing and spinning in circles. The small triangle is not very obedient and teases the big triangle, pulling on it when it tries to leave the room and so on...
nemt;video_1;;1;Two triangles, a big and a small, were interacting. They were inside a non-closed square for the most of the time, but sometimes one, or both, would exit.
Nanna;video_1;;3;The little triangle was afraid to go outside the square, so the big triangle helped it
sfmsk;video_2;;3;The mother and child paper plane bounce on the walls outside the square. They're playing some game and enjoying themselves. Maybe the mother is teaching the child how to play. They keep bouncing back and forth kind of like that DVD screensaver logo, where it bounces from side to side and you want it to hit the corner but it never does. In the end they float out of the screen through the wall they were previously bouncing upon.
SD;video_2;;1;Two triangles bouncing from wall to wall sometimes being a bit closer to each other and sometimes distancing from each other. I was half expecting them to end up together in the square in the middle but that did not happen.
S;video_2;;1;The triangles move right and left. They bump into the walls (are constricted). At the end they move through the right side wall.
rss;video_2;;1;The two triangles were bouncing of the wall from one to another over and over again
Rønn;video_2;;1;The two triangles move parallel to each other horizontally. They moved at different speeds and had a square between them.
qwerty;video_2;;;So the two triangles were moving horizontally from one edge of the big box to the other, changing their orientation whenever they hit the wall. in the end of the video they went out of the screen even though it had seemed like the outer box was solid all through the video. The triangles movements seemed like some kinda reminded me of the bubbles on the pause screen of some computers.
