,img,categories,Date,ID,gender,handedness,age,Time,onset,offset,duration_measured,response,emotion_judge,key_t,rt,duration_frames,delay_frames,no
0,images_neutral\neutral_9.jpg,N,2021_Nov_18_0827,loy,male,right,22,,1.0040549999976065,2.0096591000037733,1.0056041000061668,r,0,2.0095469999941997,1.0054919999965932,3,60,1
1,images_type1_emotion\type1_5.jpg,tp1,2021_Nov_18_0827,loy,male,right,22,,3.4278308999782894,4.149413199978881,0.7215823000005912,e,1,4.149303199985297,0.721472300007008,3,60,2
2,images_neutral\neutral_30.jpg,N,2021_Nov_18_0827,loy,male,right,22,,5.426236600003904,6.352700799994636,0.9264641999907326,r,0,6.352609900000971,0.9263732999970671,3,60,3
3,images_type1_emotion\type1_9.jpg,tp1,2021_Nov_18_0827,loy,male,right,22,,7.600142999988748,8.63713600000483,1.036993000016082,r,0,8.637045999988914,1.0369030000001658,3,60,4
4,images_neutral\neutral_23.jpg,N,2021_Nov_18_0827,loy,male,right,22,,9.899349799990887,10.57393630000297,0.674586500012083,r,0,10.573846999992384,0.6744972000014968,3,60,5
5,images_type1_emotion\type1_16.jpg,tp1,2021_Nov_18_0827,loy,male,right,22,,11.846002199978102,13.088269300002139,1.242267100024037,e,1,13.088156399986474,1.2421542000083718,3,60,6
6,images_type2_emotion\type2_7.png,tp2,2021_Nov_18_0827,loy,male,right,22,,14.328853399987565,15.553570899995975,1.2247175000084098,e,1,15.55345429998124,1.2246008999936748,3,60,7
7,images_neutral\neutral_35.jpg,N,2021_Nov_18_0827,loy,male,right,22,,16.816755399981048,17.737646299996413,0.9208909000153653,r,0,17.737534599989885,0.9207792000088375,3,60,8
8,images_type1_emotion\type1_2.jpg,tp1,2021_Nov_18_0827,loy,male,right,22,,19.01518769998802,19.995837099995697,0.9806494000076782,e,1,19.995742099999916,0.9805544000118971,3,60,9
9,images_type1_emotion\type1_4.jpg,tp1,2021_Nov_18_0827,loy,male,right,22,,21.287403199996334,21.988615299982484,0.7012120999861509,e,1,21.98851929997909,0.7011160999827553,3,60,10
10,images_type2_emotion\type2_4.jpg,tp2,2021_Nov_18_0827,loy,male,right,22,,23.264371700002812,25.201210800005356,1.936839100002544,e,1,25.201096000004327,1.936724300001515,3,60,11
11,images_type2_emotion\type2_1.jpg,tp2,2021_Nov_18_0827,loy,male,right,22,,26.51763829999254,28.096284500003094,1.578646200010553,e,1,28.09616570000071,1.57852740000817,3,60,12
12,images_type2_emotion\type2_20.jpg,tp2,2021_Nov_18_0827,loy,male,right,22,,29.36387780000223,31.174272599979304,1.8103947999770753,e,1,31.174015900003724,1.8101381000014953,3,60,13
13,images_type2_emotion\type2_8.jpg,tp2,2021_Nov_18_0827,loy,male,right,22,,32.45227939999313,33.88925989999552,1.4369805000023916,e,1,33.88916779999272,1.4368883999995887,3,60,14
14,images_type2_emotion\type2_18.jpg,tp2,2021_Nov_18_0827,loy,male,right,22,,35.15018669998972,36.522169999982,1.37198329999228,r,0,36.522048299986636,1.3718615999969188,3,60,15
15,images_type2_emotion\type2_21.jpg,tp2,2021_Nov_18_0827,loy,male,right,22,,37.78526849998161,39.1147115000058,1.3294430000241846,r,0,39.11459549999563,1.3293270000140183,3,60,16
16,images_neutral\neutral_37.jpg,N,2021_Nov_18_0827,loy,male,right,22,,40.37331979998271,41.990191199991386,1.6168714000086766,r,0,41.99007309999433,1.6167533000116237,3,60,17
17,images_type1_emotion\type1_15.jpg,tp1,2021_Nov_18_0827,loy,male,right,22,,43.231633599993074,44.92026569999871,1.6886321000056341,r,0,44.92015510000056,1.6885215000074822,3,60,18
18,images_type1_emotion\type1_20.jpg,tp1,2021_Nov_18_0827,loy,male,right,22,,46.19447279997985,47.70272099997965,1.508248199999798,e,1,47.70262679998996,1.5081540000101086,3,60,19
19,images_neutral\neutral_40.jpg,N,2021_Nov_18_0827,loy,male,right,22,,48.978255099995295,50.66392140000244,1.6856663000071421,r,0,50.663830100005725,1.6855750000104308,3,60,20
20,images_neutral\neutral_17.jpg,N,2021_Nov_18_0827,loy,male,right,22,,51.974389799986966,53.18653509998694,1.2121452999999747,r,0,53.1864192999783,1.2120294999913312,3,60,21
21,images_type2_emotion\type2_17.jpg,tp2,2021_Nov_18_0827,loy,male,right,22,,54.43740319999051,55.637456600001315,1.2000534000108019,r,0,55.63726019999012,1.1998569999996107,3,60,22
22,images_type1_emotion\type1_19.jpg,tp1,2021_Nov_18_0827,loy,male,right,22,,56.8948768999835,58.08014479998383,1.1852679000003263,e,1,58.080034799990244,1.1851579000067431,3,60,23
23,images_neutral\neutral_3.jpg,N,2021_Nov_18_0827,loy,male,right,22,,59.32525049999822,60.5697583000001,1.2445078000018839,r,0,60.569630399986636,1.2443798999884166,3,60,24
