,ID,Age,Gender,Word,Color,Emotional,Valence,Sentiment,Correct,Reaction_time
0,stormtrooper,21,Female,party,yellow,emotional,positive,2.2,1,0.8998744569835253
1,stormtrooper,21,Female,good,blue,emotional,positive,1.82,1,0.9327037860057317
2,stormtrooper,21,Female,good,green,emotional,positive,1.82,1,0.7009724919917062
3,stormtrooper,21,Female,stone,red,neutral,neutral,-0.33,1,0.6975031539914198
4,stormtrooper,21,Female,crime,green,emotional,negative,-3.17,1,0.7982846740051173
5,stormtrooper,21,Female,crime,yellow,emotional,negative,-3.17,1,1.0189121529692784
6,stormtrooper,21,Female,party,blue,emotional,positive,2.2,1,1.0472265440039337
7,stormtrooper,21,Female,window,red,neutral,neutral,0.72,1,0.783390311000403
8,stormtrooper,21,Female,pain,red,emotional,negative,-3.27,1,0.7815317750209942
9,stormtrooper,21,Female,happy,green,emotional,positive,2.92,1,0.7255845019826666
10,stormtrooper,21,Female,sad,green,emotional,negative,-2.99,1,0.6834256460424513
11,stormtrooper,21,Female,truck,green,neutral,neutral,0.1,1,0.7379109989851713
12,stormtrooper,21,Female,pain,red,emotional,negative,-3.27,1,0.754178123024758
13,stormtrooper,21,Female,good,red,emotional,positive,1.82,1,0.45194569195155054
14,stormtrooper,21,Female,chair,blue,neutral,neutral,0.06,1,0.770256100979168
15,stormtrooper,21,Female,angry,blue,emotional,negative,-3.05,1,0.43790483800694346
16,stormtrooper,21,Female,truck,blue,neutral,neutral,0.1,1,0.3964912710362114
17,stormtrooper,21,Female,gift,yellow,emotional,positive,2.34,1,0.8514392389915884
18,stormtrooper,21,Female,happy,green,emotional,positive,2.92,1,0.6978138730046339
19,stormtrooper,21,Female,window,yellow,neutral,neutral,0.72,1,0.6240055979578756
20,stormtrooper,21,Female,stone,red,neutral,neutral,-0.33,1,0.629135126946494
21,stormtrooper,21,Female,distress,yellow,emotional,negative,-2.67,1,0.835963366960641
22,stormtrooper,21,Female,truck,green,neutral,neutral,0.1,1,0.6605634019942954
23,stormtrooper,21,Female,gift,green,emotional,positive,2.34,1,0.45691382396034896
24,stormtrooper,21,Female,stone,green,neutral,neutral,-0.33,1,0.47642937197815627
25,stormtrooper,21,Female,stone,yellow,neutral,neutral,-0.33,1,0.9488274980103597
26,stormtrooper,21,Female,speak,green,neutral,neutral,0.52,1,0.6313437829958275
27,stormtrooper,21,Female,friend,yellow,emotional,positive,2.28,1,0.7133077559992671
28,stormtrooper,21,Female,sad,red,emotional,negative,-2.99,1,0.640284919005353
29,stormtrooper,21,Female,pain,yellow,emotional,negative,-3.27,1,0.8187825820059516
30,stormtrooper,21,Female,friend,red,emotional,positive,2.28,1,0.6536339960293844
31,stormtrooper,21,Female,window,red,neutral,neutral,0.72,1,0.6269235840300098
32,stormtrooper,21,Female,truck,green,neutral,neutral,0.1,1,0.7241611229837872
33,stormtrooper,21,Female,stone,red,neutral,neutral,-0.33,1,0.6447011089767329
34,stormtrooper,21,Female,crime,yellow,emotional,negative,-3.17,1,0.8216585739864968
35,stormtrooper,21,Female,sad,green,emotional,negative,-2.99,1,0.5918655140558258
36,stormtrooper,21,Female,angry,yellow,emotional,negative,-3.05,1,0.6335293510346673
37,stormtrooper,21,Female,window,blue,neutral,neutral,0.72,1,0.6821542090037838
38,stormtrooper,21,Female,truck,yellow,neutral,neutral,0.1,1,0.695375839015469
39,stormtrooper,21,Female,distress,green,emotional,negative,-2.67,1,0.6342225589905865
40,stormtrooper,21,Female,speak,blue,neutral,neutral,0.52,1,0.9920902799931355
41,stormtrooper,21,Female,happy,red,emotional,positive,2.92,1,0.6624490900430828
42,stormtrooper,21,Female,speak,blue,neutral,neutral,0.52,1,0.9375685710110702
43,stormtrooper,21,Female,truck,yellow,neutral,neutral,0.1,1,0.5989449589978904
44,stormtrooper,21,Female,chair,yellow,neutral,neutral,0.06,1,0.4979278809623793
45,stormtrooper,21,Female,crime,yellow,emotional,negative,-3.17,1,0.4950747460243292
46,stormtrooper,21,Female,sad,green,emotional,negative,-2.99,1,0.9189678779803216
47,stormtrooper,21,Female,sad,red,emotional,negative,-2.99,1,0.6227043799590319
48,stormtrooper,21,Female,party,green,emotional,positive,2.2,1,0.6694415410165675
49,stormtrooper,21,Female,party,red,emotional,positive,2.2,1,0.6674338119919412
50,stormtrooper,21,Female,crime,yellow,emotional,negative,-3.17,1,0.6533576580113731
51,stormtrooper,21,Female,friend,yellow,emotional,positive,2.28,1,0.624004557961598
52,stormtrooper,21,Female,happy,blue,emotional,positive,2.92,1,0.6469928479637019
53,stormtrooper,21,Female,chair,blue,neutral,neutral,0.06,1,0.4123434890061617
54,stormtrooper,21,Female,speak,green,neutral,neutral,0.52,1,0.6149852499947883
55,stormtrooper,21,Female,pain,blue,emotional,negative,-3.27,1,0.5742633889894933
56,stormtrooper,21,Female,sad,yellow,emotional,negative,-2.99,1,0.6675437520025298
57,stormtrooper,21,Female,distress,red,emotional,negative,-2.67,1,0.6600620559765957
58,stormtrooper,21,Female,window,green,neutral,neutral,0.72,1,0.5911418609903194
59,stormtrooper,21,Female,friend,blue,emotional,positive,2.28,1,0.6998147620470263
60,stormtrooper,21,Female,pain,yellow,emotional,negative,-3.27,1,0.5888980280142277
61,stormtrooper,21,Female,party,yellow,emotional,positive,2.2,1,0.46449526003561914
62,stormtrooper,21,Female,chair,blue,neutral,neutral,0.06,1,0.5805282340152189
63,stormtrooper,21,Female,pain,yellow,emotional,negative,-3.27,1,0.9304238320328295
64,stormtrooper,21,Female,angry,blue,emotional,negative,-3.05,1,0.8368413330172189
65,stormtrooper,21,Female,distress,red,emotional,negative,-2.67,1,0.7493105250177905
66,stormtrooper,21,Female,distress,blue,emotional,negative,-2.67,1,0.605010878003668
67,stormtrooper,21,Female,angry,green,emotional,negative,-3.05,1,0.6959914090111852
68,stormtrooper,21,Female,gift,green,emotional,positive,2.34,1,0.5841676470008679
69,stormtrooper,21,Female,gift,red,emotional,positive,2.34,0,0.5703121949918568
70,stormtrooper,21,Female,chair,red,neutral,neutral,0.06,1,0.7792351300013252
71,stormtrooper,21,Female,distress,blue,emotional,negative,-2.67,1,0.7785403830348514
72,stormtrooper,21,Female,gift,red,emotional,positive,2.34,1,0.7646415419876575
73,stormtrooper,21,Female,friend,yellow,emotional,positive,2.28,1,0.7896198570379056
74,stormtrooper,21,Female,good,blue,emotional,positive,1.82,1,0.6836331880185753
75,stormtrooper,21,Female,angry,yellow,emotional,negative,-3.05,1,0.6438878119806759
76,stormtrooper,21,Female,friend,yellow,emotional,positive,2.28,1,0.4724230199935846
77,stormtrooper,21,Female,window,red,neutral,neutral,0.72,1,0.6085482920170762
78,stormtrooper,21,Female,good,yellow,emotional,positive,1.82,1,1.1512342539499514
79,stormtrooper,21,Female,good,yellow,emotional,positive,1.82,1,0.9048264519660734
80,stormtrooper,21,Female,gift,yellow,emotional,positive,2.34,1,1.071028842998203
81,stormtrooper,21,Female,happy,green,emotional,positive,2.92,1,0.49780555500183254
82,stormtrooper,21,Female,party,red,emotional,positive,2.2,1,0.7047911409754306
83,stormtrooper,21,Female,happy,green,emotional,positive,2.92,1,0.7654912720317952
84,stormtrooper,21,Female,angry,yellow,emotional,negative,-3.05,1,0.6874265929800458
85,stormtrooper,21,Female,speak,blue,neutral,neutral,0.52,1,0.908302721043583
86,stormtrooper,21,Female,stone,green,neutral,neutral,-0.33,1,0.6411098759854212
87,stormtrooper,21,Female,crime,blue,emotional,negative,-3.17,1,0.6140733609790914
88,stormtrooper,21,Female,chair,yellow,neutral,neutral,0.06,1,0.5688104549772106
89,stormtrooper,21,Female,speak,blue,neutral,neutral,0.52,1,0.573089319979772
