,ID,Age,Gender,Word,Color,Emotional,Valence,Sentiment,Correct,Reaction_time
0,Turbo,21,Female,chair,green,neutral,neutral,0.06,1,1.0486064159777015
1,Turbo,21,Female,window,red,neutral,neutral,0.72,1,1.282853583979886
2,Turbo,21,Female,friend,blue,emotional,positive,2.28,1,1.0819853330031037
3,Turbo,21,Female,gift,red,emotional,positive,2.34,1,0.9759850830014329
4,Turbo,21,Female,distress,blue,emotional,negative,-2.67,1,0.9591384580126032
5,Turbo,21,Female,speak,green,neutral,neutral,0.52,1,1.4994380830030423
6,Turbo,21,Female,happy,blue,emotional,positive,2.92,1,1.263884500018321
7,Turbo,21,Female,speak,yellow,neutral,neutral,0.52,1,1.6079585410188884
8,Turbo,21,Female,gift,green,emotional,positive,2.34,1,0.9428391669935081
9,Turbo,21,Female,gift,yellow,emotional,positive,2.34,1,0.8947474579908885
10,Turbo,21,Female,stone,red,neutral,neutral,-0.33,1,0.8122834160167258
11,Turbo,21,Female,distress,red,emotional,negative,-2.67,1,0.7832652919751126
12,Turbo,21,Female,crime,yellow,emotional,negative,-3.17,1,1.0011335840099491
13,Turbo,21,Female,window,red,neutral,neutral,0.72,1,0.9278078330098651
14,Turbo,21,Female,gift,green,emotional,positive,2.34,1,1.9165878749918193
15,Turbo,21,Female,window,yellow,neutral,neutral,0.72,1,1.4706957080052234
16,Turbo,21,Female,chair,blue,neutral,neutral,0.06,1,0.8523317500075791
17,Turbo,21,Female,stone,green,neutral,neutral,-0.33,1,1.1940742079750635
18,Turbo,21,Female,pain,yellow,emotional,negative,-3.27,1,0.6327179999789223
19,Turbo,21,Female,speak,yellow,neutral,neutral,0.52,1,0.7507248749898281
20,Turbo,21,Female,happy,blue,emotional,positive,2.92,1,0.896103833016241
21,Turbo,21,Female,window,green,neutral,neutral,0.72,1,1.0817222920013592
22,Turbo,21,Female,good,green,emotional,positive,1.82,1,0.7237499579787254
23,Turbo,21,Female,chair,green,neutral,neutral,0.06,1,0.843246333010029
24,Turbo,21,Female,happy,green,emotional,positive,2.92,1,0.5845577919972129
25,Turbo,21,Female,stone,green,neutral,neutral,-0.33,1,0.6913170419866219
26,Turbo,21,Female,sad,blue,emotional,negative,-2.99,1,0.7144345419947058
27,Turbo,21,Female,sad,green,emotional,negative,-2.99,1,0.707783042016672
28,Turbo,21,Female,good,green,emotional,positive,1.82,1,0.5938118330086581
29,Turbo,21,Female,friend,red,emotional,positive,2.28,1,0.8524450410041027
30,Turbo,21,Female,crime,red,emotional,negative,-3.17,1,0.600462125003105
31,Turbo,21,Female,crime,green,emotional,negative,-3.17,1,0.9959286249941215
32,Turbo,21,Female,friend,yellow,emotional,positive,2.28,1,0.7727771669742651
33,Turbo,21,Female,good,blue,emotional,positive,1.82,1,0.8186711669841316
34,Turbo,21,Female,distress,green,emotional,negative,-2.67,1,0.8103338340006303
35,Turbo,21,Female,angry,green,emotional,negative,-3.05,1,0.7178338340017945
36,Turbo,21,Female,truck,red,neutral,neutral,0.1,1,0.9251202500017826
37,Turbo,21,Female,sad,yellow,emotional,negative,-2.99,1,0.7222858339955565
38,Turbo,21,Female,friend,green,emotional,positive,2.28,1,0.6769260410219431
39,Turbo,21,Female,party,red,emotional,positive,2.2,1,0.7188326669856906
40,Turbo,21,Female,crime,green,emotional,negative,-3.17,1,0.8471261249796953
41,Turbo,21,Female,angry,yellow,emotional,negative,-3.05,1,0.7233059999998659
42,Turbo,21,Female,window,green,neutral,neutral,0.72,1,0.665014041995164
43,Turbo,21,Female,chair,blue,neutral,neutral,0.06,1,0.7112702910089865
44,Turbo,21,Female,party,blue,emotional,positive,2.2,1,0.8437526670168154
45,Turbo,21,Female,pain,blue,emotional,negative,-3.27,1,0.6043781249900348
46,Turbo,21,Female,stone,yellow,neutral,neutral,-0.33,1,0.9195111249864567
47,Turbo,21,Female,sad,green,emotional,negative,-2.99,1,0.7064741250069346
48,Turbo,21,Female,truck,red,neutral,neutral,0.1,1,0.6534133750246838
49,Turbo,21,Female,distress,blue,emotional,negative,-2.67,1,0.8425029579957481
50,Turbo,21,Female,happy,yellow,emotional,positive,2.92,1,0.6271323749970179
51,Turbo,21,Female,pain,blue,emotional,negative,-3.27,1,0.7373459999798797
52,Turbo,21,Female,pain,yellow,emotional,negative,-3.27,1,0.5493905839975923
53,Turbo,21,Female,friend,yellow,emotional,positive,2.28,1,0.6189402090094518
54,Turbo,21,Female,friend,red,emotional,positive,2.28,1,0.752395624993369
55,Turbo,21,Female,pain,red,emotional,negative,-3.27,1,0.5159704580146354
56,Turbo,21,Female,angry,green,emotional,negative,-3.05,1,0.7308188330207486
57,Turbo,21,Female,truck,yellow,neutral,neutral,0.1,1,0.7171319579938427
58,Turbo,21,Female,pain,blue,emotional,negative,-3.27,1,0.7117318749951664
59,Turbo,21,Female,speak,blue,neutral,neutral,0.52,1,0.6154242919874378
60,Turbo,21,Female,angry,green,emotional,negative,-3.05,1,0.6322647919878364
61,Turbo,21,Female,happy,blue,emotional,positive,2.92,1,0.6706842500134371
62,Turbo,21,Female,distress,red,emotional,negative,-2.67,1,0.8650522500101943
63,Turbo,21,Female,good,yellow,emotional,positive,1.82,1,0.642990207998082
64,Turbo,21,Female,crime,green,emotional,negative,-3.17,1,0.6756255840009544
65,Turbo,21,Female,sad,yellow,emotional,negative,-2.99,1,0.7525834999978542
66,Turbo,21,Female,window,blue,neutral,neutral,0.72,1,0.6430772499879822
67,Turbo,21,Female,chair,blue,neutral,neutral,0.06,1,0.7180347079993226
68,Turbo,21,Female,good,red,emotional,positive,1.82,1,0.8228605420154054
69,Turbo,21,Female,party,yellow,emotional,positive,2.2,1,0.6203753329755273
70,Turbo,21,Female,speak,blue,neutral,neutral,0.52,1,0.7340099580178503
71,Turbo,21,Female,distress,blue,emotional,negative,-2.67,1,0.5796577080036514
72,Turbo,21,Female,angry,yellow,emotional,negative,-3.05,1,0.6557418330048677
73,Turbo,21,Female,party,red,emotional,positive,2.2,1,0.6783762919949368
74,Turbo,21,Female,crime,green,emotional,negative,-3.17,1,0.677608166995924
75,Turbo,21,Female,stone,green,neutral,neutral,-0.33,1,0.6688641660148278
76,Turbo,21,Female,gift,blue,emotional,positive,2.34,1,0.8969727499934379
77,Turbo,21,Female,party,green,emotional,positive,2.2,1,0.7343257909815293
78,Turbo,21,Female,good,red,emotional,positive,1.82,1,1.8021409999928437
79,Turbo,21,Female,truck,green,neutral,neutral,0.1,1,0.7823651670187246
80,Turbo,21,Female,gift,yellow,emotional,positive,2.34,1,0.654943874978926
81,Turbo,21,Female,chair,blue,neutral,neutral,0.06,1,0.805219790985575
82,Turbo,21,Female,sad,red,emotional,negative,-2.99,1,0.917413207993377
83,Turbo,21,Female,stone,blue,neutral,neutral,-0.33,1,0.7294996249838732
84,Turbo,21,Female,happy,blue,emotional,positive,2.92,1,1.1418130000238307
85,Turbo,21,Female,truck,yellow,neutral,neutral,0.1,1,1.2074092910042964
86,Turbo,21,Female,angry,yellow,emotional,negative,-3.05,1,0.6678512090002187
87,Turbo,21,Female,speak,yellow,neutral,neutral,0.52,1,0.6361714579979889
88,Turbo,21,Female,truck,blue,neutral,neutral,0.1,1,0.6645814999938011
89,Turbo,21,Female,party,blue,emotional,positive,2.2,1,0.65784062500461
