,ID,Age,Gender,Word,Color,Emotional,Valence,Sentiment,Correct,Reaction_time
0,sigøjnerbarn,20,Male,good,yellow,emotional,positive,1.82,1,1.5811637999995583
1,sigøjnerbarn,20,Male,good,green,emotional,positive,1.82,1,1.4300474000001486
2,sigøjnerbarn,20,Male,pain,red,emotional,negative,-3.27,1,0.7685515000002852
3,sigøjnerbarn,20,Male,stone,green,neutral,neutral,-0.33,1,1.2533534000003783
4,sigøjnerbarn,20,Male,window,yellow,neutral,neutral,0.72,1,1.022493100000247
5,sigøjnerbarn,20,Male,distress,green,emotional,negative,-2.67,1,0.9229645000004894
6,sigøjnerbarn,20,Male,sad,red,emotional,negative,-2.99,1,1.328679700000066
7,sigøjnerbarn,20,Male,good,green,emotional,positive,1.82,1,1.4266723999999158
8,sigøjnerbarn,20,Male,distress,red,emotional,negative,-2.67,1,1.0280790999995588
9,sigøjnerbarn,20,Male,sad,green,emotional,negative,-2.99,1,1.0103691000003892
10,sigøjnerbarn,20,Male,chair,red,neutral,neutral,0.06,1,0.827331000000413
11,sigøjnerbarn,20,Male,good,green,emotional,positive,1.82,1,0.9687354999987292
12,sigøjnerbarn,20,Male,distress,blue,emotional,negative,-2.67,1,1.0694700999993074
13,sigøjnerbarn,20,Male,party,red,emotional,positive,2.2,1,1.0820407000010164
14,sigøjnerbarn,20,Male,truck,blue,neutral,neutral,0.1,1,1.1365437000004022
15,sigøjnerbarn,20,Male,chair,yellow,neutral,neutral,0.06,1,0.735468499999115
16,sigøjnerbarn,20,Male,gift,green,emotional,positive,2.34,1,0.8331459000000905
17,sigøjnerbarn,20,Male,speak,blue,neutral,neutral,0.52,1,0.847550799999226
18,sigøjnerbarn,20,Male,truck,green,neutral,neutral,0.1,1,0.7984722000001057
19,sigøjnerbarn,20,Male,friend,yellow,emotional,positive,2.28,1,0.8655161999995471
20,sigøjnerbarn,20,Male,pain,red,emotional,negative,-3.27,1,0.8996759000001475
21,sigøjnerbarn,20,Male,friend,green,emotional,positive,2.28,1,0.8652263999993011
22,sigøjnerbarn,20,Male,pain,red,emotional,negative,-3.27,1,0.8115792000007787
23,sigøjnerbarn,20,Male,truck,green,neutral,neutral,0.1,1,0.9894411000004766
24,sigøjnerbarn,20,Male,distress,green,emotional,negative,-2.67,1,0.9532242999994196
25,sigøjnerbarn,20,Male,stone,blue,neutral,neutral,-0.33,1,1.4479522000001452
26,sigøjnerbarn,20,Male,gift,green,emotional,positive,2.34,1,0.6856076999993093
27,sigøjnerbarn,20,Male,angry,red,emotional,negative,-3.05,1,1.3151085999998031
28,sigøjnerbarn,20,Male,crime,blue,emotional,negative,-3.17,1,1.3225265000000945
29,sigøjnerbarn,20,Male,chair,yellow,neutral,neutral,0.06,1,1.0500424000001658
30,sigøjnerbarn,20,Male,friend,yellow,emotional,positive,2.28,1,0.737740999999005
31,sigøjnerbarn,20,Male,party,yellow,emotional,positive,2.2,1,0.6200530000005529
32,sigøjnerbarn,20,Male,chair,blue,neutral,neutral,0.06,1,0.8370683000011923
33,sigøjnerbarn,20,Male,chair,yellow,neutral,neutral,0.06,1,0.8662350999984483
34,sigøjnerbarn,20,Male,window,yellow,neutral,neutral,0.72,1,0.9092500999995536
35,sigøjnerbarn,20,Male,angry,red,emotional,negative,-3.05,1,0.7703518999987864
36,sigøjnerbarn,20,Male,window,red,neutral,neutral,0.72,1,0.7632417999993777
37,sigøjnerbarn,20,Male,sad,blue,emotional,negative,-2.99,1,1.0507763999994495
38,sigøjnerbarn,20,Male,party,red,emotional,positive,2.2,0,0.8866849000005459
39,sigøjnerbarn,20,Male,angry,yellow,emotional,negative,-3.05,1,0.6365248000001884
40,sigøjnerbarn,20,Male,sad,blue,emotional,negative,-2.99,1,0.8179139999992913
41,sigøjnerbarn,20,Male,happy,red,emotional,positive,2.92,1,1.1297460999994655
42,sigøjnerbarn,20,Male,truck,yellow,neutral,neutral,0.1,1,0.8847072000007756
43,sigøjnerbarn,20,Male,speak,yellow,neutral,neutral,0.52,1,0.9469358999995166
44,sigøjnerbarn,20,Male,sad,green,emotional,negative,-2.99,1,1.5617994999993243
45,sigøjnerbarn,20,Male,happy,green,emotional,positive,2.92,1,0.6271964000006847
46,sigøjnerbarn,20,Male,window,red,neutral,neutral,0.72,1,0.9567733999992925
47,sigøjnerbarn,20,Male,friend,yellow,emotional,positive,2.28,1,0.9126498000005085
48,sigøjnerbarn,20,Male,pain,yellow,emotional,negative,-3.27,1,0.6630356000005122
49,sigøjnerbarn,20,Male,crime,green,emotional,negative,-3.17,1,0.996393999999782
50,sigøjnerbarn,20,Male,speak,yellow,neutral,neutral,0.52,1,1.374454799999512
51,sigøjnerbarn,20,Male,happy,red,emotional,positive,2.92,1,0.8297547000001941
52,sigøjnerbarn,20,Male,truck,red,neutral,neutral,0.1,1,0.7075851999998122
53,sigøjnerbarn,20,Male,gift,green,emotional,positive,2.34,1,0.974444699999367
54,sigøjnerbarn,20,Male,party,red,emotional,positive,2.2,1,0.9961782000009407
55,sigøjnerbarn,20,Male,crime,red,emotional,negative,-3.17,1,1.1167131999991398
56,sigøjnerbarn,20,Male,good,yellow,emotional,positive,1.82,1,0.7779719000009209
57,sigøjnerbarn,20,Male,stone,blue,neutral,neutral,-0.33,1,0.8464306999994733
58,sigøjnerbarn,20,Male,gift,green,emotional,positive,2.34,1,1.1043104999989737
59,sigøjnerbarn,20,Male,stone,green,neutral,neutral,-0.33,1,0.6251412000001437
60,sigøjnerbarn,20,Male,speak,blue,neutral,neutral,0.52,1,1.0066115999998146
61,sigøjnerbarn,20,Male,happy,yellow,emotional,positive,2.92,1,0.7624639000005118
62,sigøjnerbarn,20,Male,party,yellow,emotional,positive,2.2,1,0.5667546000004222
63,sigøjnerbarn,20,Male,stone,green,neutral,neutral,-0.33,1,1.1794623999994656
64,sigøjnerbarn,20,Male,gift,yellow,emotional,positive,2.34,1,0.806194200000391
65,sigøjnerbarn,20,Male,distress,yellow,emotional,negative,-2.67,1,0.7599642000004678
